,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
6111,2486.076923076923,2455.230769230769,76.0,109.6923076923077,246.0,247.78571428571428,15639.923076923076,14916.307692307691,70.6923076923077,221.15384615384616,4.4375,33.5
6112,2505.0,2314.3076923076924,73.5,109.42857142857143,246.0,247.85714285714286,15610.42857142857,14912.923076923076,70.6923076923077,221.15384615384616,4.3125,27.2
6113,2633.5,2490.9166666666665,73.57142857142857,109.5,246.0,247.71428571428572,15641.07142857143,14894.25,75.41666666666667,221.66666666666666,4.3125,14.6
6114,2688.5,2370.4615384615386,73.57142857142857,109.5,246.0,247.92857142857142,15651.0,14916.692307692309,70.84615384615384,221.15384615384616,4.3125,27.2
6115,2707.714285714286,2482.0,73.71428571428571,109.5,246.0,247.71428571428572,15658.285714285714,14910.307692307691,70.84615384615384,221.15384615384616,4.3125,27.2
6116,2681.5,2477.076923076923,73.71428571428571,109.57142857142857,246.0,247.85714285714286,15693.07142857143,14889.076923076924,70.92307692307692,221.15384615384616,8.375,17.75
6117,2662.5714285714284,2454.6153846153848,73.78571428571429,109.57142857142857,246.0,247.71428571428572,15716.57142857143,14892.0,70.92307692307692,221.15384615384616,8.375,17.75
6118,2644.214285714286,2636.769230769231,73.78571428571429,109.57142857142857,246.0,247.78571428571428,15707.42857142857,14904.076923076924,71.0,221.15384615384616,8.375,17.75
6119,2499.0,2659.5384615384614,73.85714285714286,109.64285714285714,246.0,247.78571428571428,15694.357142857143,14917.153846153846,71.07692307692308,221.15384615384616,4.3125,17.75
6120,2500.1428571428573,2571.0,74.07142857142857,109.71428571428571,246.14285714285714,248.0,15650.357142857143,14923.538461538461,71.07692307692308,221.15384615384616,4.3125,17.75
6121,2612.4285714285716,2619.923076923077,74.14285714285714,109.71428571428571,246.21428571428572,248.0,15630.57142857143,14929.384615384615,71.07692307692308,221.15384615384616,4.3125,17.75
6122,2681.0,2563.6153846153848,76.0,109.6923076923077,246.0,247.71428571428572,15734.76923076923,14891.846153846154,70.6923076923077,221.15384615384616,4.4375,33.5
6123,2556.0714285714284,2538.5384615384614,73.57142857142857,109.42857142857143,246.0,247.78571428571428,15672.142857142857,14882.384615384615,70.6923076923077,221.15384615384616,8.375,17.75
6124,2473.5333333333333,2575.153846153846,69.66666666666667,109.06666666666666,246.0,247.73333333333332,15635.8,14886.076923076924,70.6923076923077,221.15384615384616,8.25,27.2
6125,2550.6,2653.230769230769,69.66666666666667,109.06666666666666,246.0,247.8,15630.933333333332,14896.461538461539,70.84615384615384,221.15384615384616,8.25,27.2
6126,2561.866666666667,2680.846153846154,69.8,109.06666666666666,246.0,247.73333333333332,15603.666666666666,14896.0,70.84615384615384,221.15384615384616,8.25,27.2
6127,2626.5333333333333,2582.846153846154,69.8,109.13333333333334,246.0,247.8,15623.733333333334,14877.692307692309,70.92307692307692,221.15384615384616,8.25,17.75
6128,2670.733333333333,2618.769230769231,69.86666666666666,109.13333333333334,246.0,247.8,15659.8,14873.0,70.92307692307692,221.15384615384616,8.25,17.75
6129,2675.866666666667,2667.769230769231,69.86666666666666,109.13333333333334,246.0,247.66666666666666,15659.866666666667,14881.538461538461,71.0,221.15384615384616,8.25,17.75
6130,2689.214285714286,2603.769230769231,74.0,109.64285714285714,246.0,247.92857142857142,15665.357142857143,14903.461538461539,71.07692307692308,221.15384615384616,4.3125,17.75
6131,2652.1428571428573,2601.3846153846152,74.07142857142857,109.71428571428571,246.14285714285714,248.0,15615.92857142857,14928.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6132,2747.785714285714,2764.153846153846,74.21428571428571,109.71428571428571,246.14285714285714,248.0,15584.785714285714,14947.846153846154,71.07692307692308,221.15384615384616,4.3125,17.75
6133,2574.923076923077,2301.6153846153848,75.92307692307692,109.6923076923077,246.0,247.85714285714286,15567.076923076924,14945.846153846154,70.6923076923077,221.15384615384616,8.5,33.5
6134,2391.6428571428573,2327.5384615384614,73.42857142857143,109.42857142857143,246.07142857142858,247.78571428571428,15545.642857142857,14946.384615384615,70.6923076923077,221.15384615384616,12.4375,27.2
6135,2334.285714285714,2398.3846153846152,73.5,109.5,246.07142857142858,247.78571428571428,15571.785714285714,14950.153846153846,70.76923076923077,221.15384615384616,12.4375,27.2
6136,2455.6923076923076,2467.076923076923,76.15384615384616,109.84615384615384,246.14285714285714,248.0,15626.076923076924,14953.153846153846,70.84615384615384,221.15384615384616,8.5,27.2
6137,2482.153846153846,2498.6923076923076,76.23076923076923,109.84615384615384,246.21428571428572,248.0,15631.076923076924,14938.923076923076,70.92307692307692,221.15384615384616,8.5,17.75
6138,2514.076923076923,2507.4615384615386,76.3076923076923,109.84615384615384,246.21428571428572,248.0,15646.076923076924,14911.307692307691,70.92307692307692,221.15384615384616,4.4375,17.75
6139,2454.4285714285716,2454.5384615384614,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15627.92857142857,14908.461538461539,71.0,221.15384615384616,4.3125,17.75
6140,2610.1428571428573,2436.923076923077,73.78571428571429,109.57142857142857,246.35714285714286,248.0,15634.92857142857,14937.153846153846,71.07692307692308,221.15384615384616,4.3125,17.75
6141,2671.285714285714,2530.6923076923076,73.78571428571429,109.64285714285714,246.35714285714286,248.0,15672.714285714286,14952.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6142,2701.1428571428573,2485.4615384615386,73.85714285714286,109.71428571428571,246.35714285714286,248.0,15700.42857142857,14951.23076923077,71.07692307692308,221.15384615384616,4.3125,17.75
