,date,longitude,latitude,Province,Town,night/day,land/water,MaxFRP,fire
84,2021-08-11,7.9555441767295845,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,1920.0,1
85,2021-08-11,7.965869347627241,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,2738.0,1
86,2021-08-11,7.976194518524942,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,361.0,1
87,2021-08-11,7.986519689422599,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,361.0,1
88,2021-08-11,7.93404973380309,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
89,2021-08-11,7.94437380632582,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,1920.0,1
90,2021-08-11,7.954697878848594,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,2738.0,1
91,2021-08-11,7.965021951371324,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,2738.0,1
92,2021-08-11,7.975346023894097,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,2738.0,1
93,2021-08-11,7.98567009641683,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,1698.0,1
94,2021-08-11,7.933205980042158,36.170833330095924,Souk Ahras,AIN Djehifa,0.0,2.0,204.0,1
95,2021-08-11,7.943528954641974,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
96,2021-08-11,7.95385192924183,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,1698.0,1
97,2021-08-11,7.964174903841645,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,1698.0,1
98,2021-08-11,7.974497878441503,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,1698.0,1
99,2021-08-11,7.984820853041319,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
100,2021-08-08,7.963176554282108,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
101,2021-08-08,7.973511630926103,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
102,2021-08-08,7.98384670757014,36.26249999675439,Souk Ahras,Souk Ahras,1.0,2.0,0.0,0
