,QC_250m,granule_pnt,iobs_res,num_observations,obscov,orbit_pnt,sur_refl_b01,sur_refl_b02
80,4096,2,0,1,22,1,1697,2701
81,4096,2,1,1,13,1,1346,2287
82,4096,2,0,1,20,1,1175,2327
83,4096,2,0,1,15,1,1452,2453
84,4096,2,0,1,21,1,1557,2347
85,4096,2,1,1,16,1,1611,2319
86,4096,2,0,1,19,1,1614,2247
87,4096,2,1,1,23,1,1669,2264
88,4096,2,0,1,24,1,1162,2286
89,4096,2,1,1,22,1,1175,2183
90,4096,2,0,1,18,1,1587,2252
91,4096,2,0,1,22,1,1913,2591
92,4096,2,1,1,16,1,1920,2508
93,4096,2,1,1,23,1,2027,2608
94,4096,2,0,1,18,1,1298,2362
95,4096,2,0,1,23,1,1170,2305
96,4096,2,0,1,8,1,1542,2521
97,4096,2,0,1,21,1,1754,2677
98,4096,2,0,1,18,1,1792,2562
99,4096,2,0,1,14,1,1900,2605
100,4096,0,0,1,34,0,1467,2640
101,4096,0,0,1,60,0,1429,2697
102,4096,0,0,1,45,0,1342,2717
103,4096,0,0,1,44,0,1321,2633
104,4096,0,0,1,33,0,1323,2578
105,4096,0,0,1,61,0,1663,2844
106,4096,0,0,1,55,0,1437,2635
107,4096,0,0,1,44,0,1580,2539
108,4096,0,0,1,33,0,1631,2717
109,4096,2,1,1,10,1,1307,2324
110,4096,2,1,1,9,1,1146,2256
111,4096,2,0,1,10,1,1124,2330
112,4096,2,0,1,5,1,1222,2323
113,4096,2,0,1,7,1,1193,2304
114,4096,2,0,1,7,1,1431,2485
115,4096,2,0,1,6,1,1250,2262
116,4096,2,0,1,10,1,1340,2250
117,4096,2,0,1,10,1,1458,2392
118,4096,0,0,1,52,0,1629,2925
119,4096,0,0,1,29,0,1530,2960
120,4096,0,0,1,46,0,1522,3063
121,4096,0,0,1,33,0,1498,2953
122,4096,0,0,1,48,0,1459,2905
123,4096,0,0,1,24,0,1934,3214
124,4096,0,0,1,51,0,1613,2954
125,4096,0,0,1,19,0,1786,2854
126,4096,0,0,1,52,0,1764,2964
127,4096,2,0,1,14,1,1094,1879
128,4096,2,0,1,13,1,974,1625
129,4096,2,0,1,19,1,1039,1835
130,4096,2,0,1,18,1,1047,2126
131,4096,2,0,1,13,1,988,1804
132,4096,2,0,1,15,1,1178,2072
133,4096,2,0,1,9,1,1092,2149
134,4096,2,0,1,22,1,1165,2077
135,4096,2,0,1,17,1,1275,2242
136,4096,0,0,1,52,0,1629,2925
137,4096,0,0,1,37,0,896,1856
138,4096,0,0,1,28,0,939,1950
139,4096,0,0,1,23,0,1227,2615
140,4096,0,0,1,39,0,1499,2875
141,4096,0,0,1,26,0,1510,2852
142,4096,0,0,1,46,0,1207,2564
143,4096,0,0,1,22,0,1081,2614
144,4096,0,0,1,30,0,1209,2648
145,4096,0,0,1,29,0,1343,2485
146,4096,0,0,1,47,0,1094,2479
147,4096,0,0,1,23,0,978,2266
148,4096,0,0,1,37,0,1120,2568
149,4096,0,0,1,18,0,1225,2639
150,4096,0,0,1,35,0,1173,2457
151,4096,0,0,1,36,0,1235,2576
152,4096,0,0,1,35,0,1062,2275
153,4096,0,0,1,25,0,2009,3089
154,4096,0,0,1,40,0,1344,2725
155,4096,0,0,1,36,0,1023,2456
156,4096,0,0,1,35,0,874,1941
157,4096,0,0,1,27,0,1035,1938
158,4096,0,0,1,24,0,1073,2305
159,4096,0,0,1,44,0,1058,2446
160,4096,0,0,1,23,0,849,1820
161,4096,0,0,1,28,0,1187,2347
162,4096,0,0,1,23,0,1415,2655
163,4096,0,0,1,45,0,1261,2556
164,4096,0,0,1,22,0,1188,2424
165,4096,0,0,1,31,0,962,2057
166,4096,0,0,1,24,0,1258,2534
167,4096,0,0,1,34,0,1484,2551
168,4096,0,0,1,33,0,1438,2323
169,4096,0,0,1,37,0,1318,2700
170,4096,0,0,1,21,0,1301,2637
171,4096,0,0,1,39,0,1920,3046
172,4096,0,0,1,37,0,2789,3688
173,4096,0,0,1,37,0,1689,2919
174,4096,0,0,1,42,0,1259,2630
175,4096,0,0,1,22,0,1784,2617
176,4096,0,0,1,39,0,2644,3194
177,4096,0,0,1,36,0,1198,2671
178,4096,0,0,1,38,0,1291,2708
179,4096,0,0,1,21,0,1224,2664
180,4096,0,0,1,33,0,1482,2855
181,4096,0,0,1,21,0,1283,2559
182,4096,0,0,1,47,0,1143,2449
