,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
4144,227.0,2116.0,1833.0,3048.0,13906.0,2759.0,0.0,678.0,1304.0,2452.0,621.0,1974.0
4145,227.0,2116.0,1795.0,2872.0,9442.0,2836.0,0.0,635.0,1446.0,2615.0,673.0,1926.0
4146,227.0,2116.0,1833.0,3048.0,13906.0,2759.0,0.0,678.0,1304.0,2452.0,621.0,1974.0
4147,227.0,2116.0,916.0,2036.0,49.0,3002.0,0.0,600.0,1007.0,1521.0,468.0,1744.0
4148,227.0,2185.0,1065.0,2477.0,13495.0,2771.0,1.0,626.0,856.0,1452.0,382.0,1696.0
4149,227.0,2185.0,1472.0,2703.0,48.0,3001.0,1.0,594.0,1258.0,2179.0,550.0,1873.0
4150,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4151,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4152,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4153,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4154,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4155,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4156,227.0,2116.0,916.0,2036.0,49.0,3002.0,0.0,600.0,1007.0,1521.0,468.0,1744.0
4157,227.0,2185.0,1065.0,2477.0,13495.0,2771.0,1.0,626.0,856.0,1452.0,382.0,1696.0
4158,227.0,2185.0,1472.0,2703.0,48.0,3001.0,1.0,594.0,1258.0,2179.0,550.0,1873.0
4159,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4160,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4161,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4162,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4163,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4164,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4165,227.0,2116.0,916.0,2036.0,49.0,3002.0,0.0,600.0,1007.0,1521.0,468.0,1744.0
4166,227.0,2185.0,1065.0,2477.0,13495.0,2771.0,1.0,626.0,856.0,1452.0,382.0,1696.0
4167,227.0,2185.0,1472.0,2703.0,48.0,3001.0,1.0,594.0,1258.0,2179.0,550.0,1873.0
4168,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4169,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4170,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4171,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4172,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4173,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4174,227.0,2116.0,916.0,2036.0,49.0,3002.0,0.0,600.0,1007.0,1521.0,468.0,1744.0
4175,227.0,2185.0,1065.0,2477.0,13495.0,2771.0,1.0,626.0,856.0,1452.0,382.0,1696.0
4176,227.0,2185.0,1472.0,2703.0,48.0,3001.0,1.0,594.0,1258.0,2179.0,550.0,1873.0
4177,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4178,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4179,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4180,236.0,2185.0,1129.0,2355.0,4586.0,2925.0,1.0,606.0,1051.0,1727.0,443.0,1756.0
4181,227.0,2185.0,2057.0,3544.0,13580.0,2771.0,1.0,626.0,1205.0,2523.0,497.0,1897.0
4182,236.0,2116.0,1884.0,3002.0,9045.0,2847.0,0.0,622.0,1456.0,2703.0,651.0,2185.0
4183,227.0,2116.0,1390.0,2142.0,13711.0,2769.0,0.0,710.0,1630.0,2513.0,847.0,2442.0
4184,227.0,2116.0,1597.0,2499.0,13519.0,2825.0,0.0,1287.0,1550.0,2540.0,828.0,2171.0
4185,227.0,2116.0,1390.0,2142.0,13711.0,2769.0,0.0,710.0,1630.0,2513.0,847.0,2442.0
4186,227.0,2116.0,1597.0,2499.0,13519.0,2825.0,0.0,1287.0,1550.0,2540.0,828.0,2171.0
4187,227.0,2116.0,1390.0,2142.0,13711.0,2769.0,0.0,710.0,1630.0,2513.0,847.0,2442.0
4188,227.0,2116.0,1597.0,2499.0,13519.0,2825.0,0.0,1287.0,1550.0,2540.0,828.0,2171.0
4189,227.0,2116.0,1390.0,2142.0,13711.0,2769.0,0.0,710.0,1630.0,2513.0,847.0,2442.0
4190,227.0,2116.0,1597.0,2499.0,13519.0,2825.0,0.0,1287.0,1550.0,2540.0,828.0,2171.0
4191,234.0,2116.0,2166.0,3897.0,-2967.0,2996.0,0.0,295.0,980.0,2229.0,491.0,1390.0
4192,234.0,2116.0,2095.0,3610.0,-2929.0,2996.0,0.0,286.0,1077.0,2293.0,565.0,1453.0
4193,234.0,2116.0,1018.0,2099.0,-3582.0,3048.0,0.0,848.0,1045.0,1598.0,572.0,1014.0
4194,234.0,2116.0,1042.0,2220.0,-3731.0,2995.0,0.0,272.0,949.0,1521.0,491.0,1109.0
4195,234.0,2116.0,1652.0,3229.0,-3716.0,2994.0,0.0,263.0,991.0,1938.0,471.0,1447.0
4196,234.0,2116.0,1919.0,3411.0,-4624.0,2994.0,0.0,253.0,1105.0,2249.0,530.0,1582.0
4197,234.0,2116.0,2249.0,4203.0,-4640.0,2994.0,0.0,244.0,891.0,2183.0,421.0,1303.0
4198,234.0,2116.0,1710.0,3455.0,-78.0,2917.0,0.0,423.0,899.0,1857.0,438.0,1472.0
4199,225.0,2185.0,1434.0,2976.0,9116.0,2765.0,1.0,795.0,971.0,1813.0,412.0,1574.0
4200,234.0,2116.0,2093.0,4172.0,11.0,2916.0,0.0,413.0,840.0,2040.0,365.0,1265.0
4201,234.0,2116.0,2176.0,4002.0,-4586.0,2992.0,0.0,212.0,952.0,2218.0,447.0,1475.0
4202,234.0,2116.0,2351.0,4528.0,106.0,2915.0,0.0,402.0,788.0,2090.0,396.0,1156.0
4203,234.0,2116.0,2078.0,3682.0,-4490.0,2990.0,0.0,193.0,1066.0,2308.0,500.0,1576.0
4204,234.0,2116.0,2384.0,4237.0,-4501.0,2990.0,0.0,186.0,944.0,2331.0,459.0,1357.0
4205,234.0,2116.0,2338.0,4179.0,-3138.0,2996.0,0.0,293.0,947.0,2306.0,461.0,1346.0
4206,234.0,2116.0,2212.0,4034.0,-3106.0,2995.0,0.0,284.0,926.0,2175.0,481.0,1265.0
4207,234.0,2116.0,1799.0,3319.0,-2980.0,2994.0,0.0,276.0,1027.0,2047.0,537.0,1330.0
4208,234.0,2116.0,1574.0,2851.0,-2951.0,2994.0,0.0,270.0,1073.0,1987.0,557.0,1325.0
4209,234.0,2116.0,1193.0,2483.0,-2872.0,2994.0,0.0,264.0,988.0,1653.0,498.0,1728.0
4210,234.0,2116.0,1341.0,2507.0,-2776.0,2993.0,0.0,255.0,1188.0,1997.0,556.0,1902.0
4211,225.0,2185.0,1367.0,2838.0,13686.0,2690.0,1.0,969.0,989.0,1786.0,429.0,1656.0
4212,225.0,2185.0,1524.0,3386.0,5085.0,2794.0,1.0,1196.0,824.0,1681.0,350.0,1507.0
4213,234.0,2185.0,1140.0,2511.0,484.0,2869.0,1.0,1011.0,989.0,1648.0,418.0,1812.0
4214,225.0,2185.0,1356.0,2835.0,9604.0,2764.0,1.0,799.0,984.0,1782.0,415.0,1639.0
4215,234.0,2116.0,2022.0,3819.0,-107.0,2915.0,0.0,409.0,970.0,2163.0,430.0,1470.0
4216,225.0,2185.0,2343.0,4358.0,-138.0,2914.0,1.0,405.0,868.0,2202.0,423.0,1231.0
4217,234.0,2116.0,2076.0,3670.0,-4756.0,2990.0,0.0,194.0,1075.0,2322.0,503.0,1551.0
4218,234.0,2116.0,2228.0,3988.0,-4783.0,2989.0,0.0,185.0,984.0,2290.0,472.0,1368.0
4219,234.0,2116.0,2123.0,3839.0,-3312.0,2995.0,0.0,292.0,1002.0,2243.0,485.0,1380.0
4220,234.0,2116.0,2097.0,3864.0,-3240.0,2994.0,0.0,283.0,956.0,2154.0,480.0,1319.0
4221,234.0,2116.0,2061.0,3675.0,-3163.0,2994.0,0.0,274.0,1037.0,2240.0,517.0,1473.0
4222,234.0,2116.0,2050.0,3594.0,-3129.0,2993.0,0.0,266.0,1086.0,2308.0,525.0,1594.0
4223,234.0,2116.0,1237.0,2657.0,1174.0,2917.0,0.0,435.0,930.0,1607.0,470.0,1642.0
4224,225.0,2185.0,839.0,1960.0,5239.0,2818.0,1.0,899.0,953.0,1417.0,446.0,1845.0
4225,227.0,2185.0,940.0,1936.0,-3552.0,2899.0,1.0,1428.0,1165.0,1727.0,510.0,2298.0
4226,227.0,2185.0,1101.0,2417.0,940.0,2869.0,1.0,1014.0,1014.0,1653.0,429.0,1891.0
4227,227.0,2185.0,1221.0,2729.0,9407.0,2741.0,1.0,1095.0,942.0,1651.0,378.0,1756.0
4228,225.0,2185.0,1217.0,2689.0,13718.0,2688.0,1.0,993.0,955.0,1661.0,390.0,1738.0
4229,234.0,2116.0,2014.0,3490.0,-2479.0,2990.0,0.0,212.0,1124.0,2328.0,550.0,1726.0
4230,234.0,2116.0,2203.0,3907.0,-2442.0,2990.0,0.0,208.0,1006.0,2292.0,497.0,1427.0
4231,234.0,2116.0,2135.0,3774.0,-2364.0,2989.0,0.0,199.0,1039.0,2298.0,505.0,1497.0
4232,234.0,2116.0,2482.0,4308.0,-2916.0,2988.0,0.0,190.0,958.0,2406.0,474.0,1344.0
